,PGE_valley,SCE
0,92211.04776941362,1326.6591399347644
1,92211.04776941362,1326.6591399347644
2,92211.04776941362,1326.6591399347644
3,92211.04776941362,1326.6591399347644
4,92211.04776941362,1326.6591399347644
5,92211.04776941362,1326.6591399347644
6,92211.04776941362,1326.6591399347644
7,97304.64825451298,8683.078494875637
8,97304.64825451298,8683.078494875637
9,97304.64825451298,8683.078494875637
10,97304.64825451298,8683.078494875637
11,97304.64825451298,8683.078494875637
12,97304.64825451298,8683.078494875637
13,97304.64825451298,8683.078494875637
14,79979.06259088243,3375.6609234189864
15,79979.06259088243,3375.6609234189864
16,80119.24639010447,3370.274285357387
17,80061.2713821113,3343.4607613216217
18,80109.53816297158,3295.1780728944773
19,80045.4069740478,3234.2652871775376
20,80001.92208109627,3175.064354812367
21,95032.57915978809,4922.583380848995
22,94677.34968738489,4865.272332393659
23,94504.23238381039,4843.265858771079
24,94518.83295014879,4829.037446862858
25,94477.3478408692,4835.523194223402
26,94490.90986972264,4821.715307346551
27,94535.79528532454,4822.164111432232
28,88872.07510283725,2865.6621669680408
29,89010.76991234125,2854.4217401983087
30,89080.27960088765,2844.8927043459416
31,89200.98967919174,2833.366914654488
32,89413.38169814,2827.2175286572847
33,89828.31111255816,2810.833119603192
34,90177.96864294118,2810.4208207918637
35,83872.470285581,3599.2023082540904
36,83752.88891726187,3589.2630996993494
37,83625.84500084392,3570.6495480755652
38,83064.56039308973,3555.309774280726
39,82592.15374946951,3537.2350625831273
40,82436.39843881431,3555.744357767972
41,82659.61761640909,3569.1686540874307
42,74939.49248968129,12.377327624163627
43,74497.80609705,18.389759312430215
44,74165.74093517098,73.48601921878708
45,73918.67661792845,130.908569336877
46,73477.10459484588,178.65720924951438
47,73514.8674290175,230.30877274982095
48,73430.83746123937,268.78277472435116
49,70962.15601680266,198.48329366446228
50,70867.11811761961,236.69539630608756
51,70851.87646438845,276.5661014690161
52,70892.85257098559,315.71744026485635
53,70639.2843457649,300.60245717385556
54,70226.72090285372,290.52659030081963
55,70004.41159956309,289.5111958694945
56,68202.69383797428,1566.3218510898685
57,67897.3771737704,1557.303023019691
58,67676.57179772781,1541.655369079262
59,67487.68437294758,1533.5324048020543
60,67328.96273374818,1527.1500978528256
61,67345.83082144443,1511.809533472825
62,67488.13315228686,1480.2169112757826
63,68170.54441585107,1428.6054194100266
64,67748.92390195589,1389.3428231187222
65,67563.69057911303,1353.1770043870404
66,67507.90960646949,1314.605699999017
67,67492.72430835095,1273.114929898382
68,67485.4410506165,1226.6819865979476
69,67568.7498923649,988.5491519359857
70,66771.85568089862,1580.587415414538
71,66279.21196572758,1315.8197188995568
72,65756.40339662679,1045.6107879636443
73,65475.284049438924,771.2027802749553
74,65118.45363834301,480.9481438605967
75,64826.635902070026,224.54064012890785
76,65306.682134101655,0.0
77,71077.36647619991,3077.3056024039424
78,70825.06096132631,2862.2491931889535
79,70545.78610989929,2592.952486899474
80,70442.71026694155,2420.536342239152
81,70282.8996100157,2208.605214595511
82,70213.2876614079,1933.2717366437282
83,70307.45636938213,1898.3316864038316
84,68091.37375525082,873.5605181347828
85,68218.47154465501,767.5626269706381
86,68238.70841571807,727.5587564903472
87,68274.15043337145,538.0646179060586
88,68283.19215510815,514.7915311441011
89,68165.86156532133,491.09146834006606
90,68288.43086160225,467.8953893917196
91,59525.28915537632,0.0
92,59098.08010244543,0.0
93,58740.587280659114,0.0
94,58461.20906692582,0.0
95,58393.43358806162,0.0
96,58302.807758546915,0.0
97,58388.50487141273,0.0
98,55156.235818707355,0.0
99,54977.55094598442,0.0
100,55048.6479698988,0.0
101,55089.682955146396,0.0
102,55102.84066939322,0.0
103,55158.31894983352,0.0
104,55385.313010039434,0.0
105,47142.33242643246,0.0
106,46841.036734136076,0.0
107,46550.32958640755,124.3046788714737
108,46384.562641685836,42.61590140313183
109,46209.872427637136,0.0
110,46095.34211489944,0.0
111,45931.10589913977,0.0
112,44255.01934654477,0.0
113,44066.516237872216,0.0
114,43808.949761983036,0.0
115,43318.192181147744,0.0
116,42945.96626169553,0.0
117,42786.73514928085,0.0
118,42676.783812800284,0.0
119,51593.53372888811,1180.3836848801402
120,51223.16123738398,827.5546880861493
121,50941.946828063825,534.8712191412142
122,50547.44467951111,275.9368794986931
123,50210.89114753507,0.0
124,50202.17835489083,0.0
125,50088.0195039713,0.0
126,57994.48345002305,1660.0128357437225
127,57598.13915815872,1311.2361978297213
128,57300.16102984609,1053.0969285587944
129,57324.422941372424,885.3553260931967
130,57244.39750656687,632.3540268613815
131,57322.77291750648,490.85995007736165
132,57366.55603566246,393.59647592058354
133,59325.184462319594,2225.234485453715
134,59265.42210932019,2077.3914686697135
135,59152.94222477673,1839.4086444121094
136,58942.00763643563,1711.6124286985105
137,58973.554942425864,1407.2731177587484
138,59073.48652587238,1176.4254920619496
139,59132.65763043724,1305.0184296031439
140,65206.95489164443,1020.8990034098078
141,65104.76764478817,1111.108162790846
142,64991.04726981287,1132.3496416970866
143,64752.25394571564,1317.1268875222286
