,Zone,Time,Value
182,PGE_valley,39,1049.632903290228
183,PGE_valley,40,671.3742373438824
184,PGE_valley,41,0.0
185,PGE_valley,42,0.0
186,PGE_valley,43,0.0
187,PGE_valley,44,0.0
188,PGE_valley,45,0.0
189,PGE_valley,46,0.0
190,PGE_valley,47,0.0
191,PGE_valley,48,0.0
192,SCE,49,0.0
193,SCE,50,0.0
194,SCE,51,0.0
195,SCE,52,0.0
196,SCE,53,0.0
197,SCE,54,0.0
198,SCE,55,0.0
199,SCE,56,452.2048970611198
200,SCE,57,1563.8752690030396
201,SCE,58,2463.5745954475587
202,SCE,59,2783.886397532519
203,SCE,60,3057.878600786565
204,SCE,61,3061.018912571712
205,SCE,62,2710.0890705815723
206,SCE,63,2520.100207580199
207,SCE,64,1056.7149157018528
208,SCE,65,0.0
209,SCE,66,0.0
210,SCE,67,0.0
211,SCE,68,0.0
212,SCE,69,0.0
213,SCE,70,0.0
214,SCE,71,0.0
215,SCE,72,0.0
216,SDGE,49,0.0
217,SDGE,50,0.0
218,SDGE,51,0.0
219,SDGE,52,0.0
220,SDGE,53,0.0
221,SDGE,54,0.0
222,SDGE,55,0.0
223,SDGE,56,105.48706962353032
224,SDGE,57,364.8094491147091
225,SDGE,58,574.6847647198578
226,SDGE,59,649.4047723698585
227,SDGE,60,713.3196808743933
228,SDGE,61,714.0522299690012
229,SDGE,62,632.189868646574
230,SDGE,63,587.8706484227991
231,SDGE,64,246.50277033554133
232,SDGE,65,0.0
233,SDGE,66,0.0
234,SDGE,67,0.0
235,SDGE,68,0.0
236,SDGE,69,0.0
237,SDGE,70,0.0
238,SDGE,71,0.0
239,SDGE,72,0.0
240,PGE_bay,49,0.0
241,PGE_bay,50,0.0
242,PGE_bay,51,0.0
243,PGE_bay,52,0.0
244,PGE_bay,53,0.0
245,PGE_bay,54,0.0
246,PGE_bay,55,0.0
247,PGE_bay,56,2.2199149492091337
248,PGE_bay,57,7.677205866014922
249,PGE_bay,58,12.093911650378924
250,PGE_bay,59,13.66635140606873
251,PGE_bay,60,15.011404040224956
252,PGE_bay,61,15.026820116261133
253,PGE_bay,62,13.304073619218627
254,PGE_bay,63,12.371401019030067
255,PGE_bay,64,5.187509586172732
256,PGE_bay,65,0.0
257,PGE_bay,66,0.0
258,PGE_bay,67,0.0
259,PGE_bay,68,0.0
260,PGE_bay,69,0.0
261,PGE_bay,70,0.0
262,PGE_bay,71,0.0
263,PGE_bay,72,0.0
264,PGE_valley,49,0.0
265,PGE_valley,50,0.0
266,PGE_valley,51,0.0
267,PGE_valley,52,0.0
268,PGE_valley,53,0.0
269,PGE_valley,54,0.0
270,PGE_valley,55,0.0
271,PGE_valley,56,215.4961882176718
272,PGE_valley,57,745.2576509194485
273,PGE_valley,58,1174.0052753941911
274,PGE_valley,59,1326.648408715042
275,PGE_valley,60,1457.2181477566521
276,PGE_valley,61,1458.7146490637194
277,PGE_valley,62,1291.4806279989637
278,PGE_valley,63,1200.9422989214002
279,PGE_valley,64,503.5726898281011
280,PGE_valley,65,0.0
281,PGE_valley,66,0.0
282,PGE_valley,67,0.0
283,PGE_valley,68,0.0
284,PGE_valley,69,0.0
285,PGE_valley,70,0.0
286,PGE_valley,71,0.0
287,PGE_valley,72,0.0
288,SCE,73,0.0
289,SCE,74,0.0
290,SCE,75,0.0
291,SCE,76,0.0
292,SCE,77,0.0
293,SCE,78,0.0
294,SCE,79,0.0
295,SCE,80,434.53934612390793
296,SCE,81,1382.4788826682845
297,SCE,82,2028.6549844043923
298,SCE,83,2018.1938519977055
299,SCE,84,2324.785501762907
300,SCE,85,2122.805176064573
301,SCE,86,1860.4721634045832
302,SCE,87,1163.599804620687
303,SCE,88,584.2140097888098
304,SCE,89,0.0
305,SCE,90,0.0
306,SCE,91,0.0
307,SCE,92,0.0
308,SCE,93,0.0
309,SCE,94,0.0
310,SCE,95,0.0
311,SCE,96,0.0
312,SDGE,73,0.0
313,SDGE,74,0.0
314,SDGE,75,0.0
315,SDGE,76,0.0
316,SDGE,77,0.0
317,SDGE,78,0.0
318,SDGE,79,0.0
319,SDGE,80,101.36617837763161
320,SDGE,81,322.4946193569835
321,SDGE,82,473.2298809074246
322,SDGE,83,470.7895840205557
