,Albany,Goshen,Harrisburg,Jasper,Jefferson,Mehama,Monroe,Salem,Vida,Waterloo,BLU5A,CGR5A,DET5A,DOR5A,FAL5A,FOS5A,FRN5M,GPR5A,GPR5H,HCR5A,HCR5H,LOP5A,LOP5E
365,158.91422057097438,20.91128760650803,55.8405933337609,9.404643467604506,-3.008626653013792,50.13353069711264,15.826788365707186,113.51266213837948,90.47502165731741,-87.95180936919049,482.4586089165233,1367.7961427403682,2524.5864496123045,1163.8486298794835,801.014300289627,4400.761612458529,964.957850136936,2099.288205663831,3168.1208986766387,1909.9238207967292,1714.032251035781,5618.999688886049,0.0
366,109.45440135955872,12.493698229878149,45.93339129067429,7.916138746113146,-2.588871918748932,44.25593974766325,11.94474593638278,116.91804200253084,82.03068630263444,-63.209592877647744,378.2773154743949,1186.8237056619025,2520.628176721724,670.3812614745591,646.0380889285839,3779.008726532313,789.0817404483688,1840.5615781327194,2651.271513243679,1529.0082932060584,1640.3824277490876,4785.134736951752,0.0
367,123.9173809845575,12.514927963488814,19.926985927571934,5.818700274920774,-1.6086754238996703,105.68063200556023,11.795436612177994,66.9724706616439,110.17847081824429,-51.084675840747444,1310.947942480116,2060.1772970986053,7819.963922631026,761.0635399976736,630.8443427167167,4675.103430714435,809.1481422249167,4364.292453771641,2148.2416300950213,1541.0372046036587,1566.7326044623935,4730.443424090643,0.0
368,152.4862296265304,8.59804211232056,30.84742454324695,4.533173469996416,-1.7758854141974854,94.62148061383309,8.958559452287084,72.64810376856286,126.86608592392729,-4.831502474094788,1272.5000841859974,2420.506345924479,7445.511307182102,609.7409647934577,636.9218412014636,5595.775973335947,629.1407145235313,4083.9506902695753,3156.374321734981,1759.5624283267275,1620.2961123072619,5213.431641565363,0.0
369,111.59706500770668,7.706393300672501,39.74139001374515,4.32342962287718,-0.7264985785353348,64.15081174431923,8.734595465979908,90.8101297107036,110.58058202561016,28.14273256407442,753.4539972153931,1867.0861700372068,5278.752726878284,501.8123633610393,529.3501180214455,4790.685697969949,570.1218857689787,2826.3427792322723,3146.700670135969,1787.629888254461,2001.936105701948,5655.2238051966515,0.0
370,72.85056403703092,7.56840003220316,36.47651661318253,4.242238456250378,-0.7322644402697424,50.346206685415076,6.121682292396174,80.59399011824944,103.14152468934181,14.786859482818766,628.1883943861671,1529.3786758461413,4072.2711498293183,496.8053663873703,444.2651392349904,4386.812028479415,484.54458407487726,2183.78373718665,3165.356998219779,1576.4556659410366,2022.0224211437733,5278.777106282531,0.0
371,60.70880336419243,5.43481180433102,27.244805618488183,4.093387984101242,-0.288293086720371,43.54057505973685,6.017165765452825,68.10759728302769,95.82310071528326,28.51201937738103,543.8511568377776,1326.5925967983962,3445.2807239613508,396.1090939169178,393.2141519631172,4174.246939273871,411.9514247067775,1866.7617429459965,3155.683346620766,1452.8251876879249,2008.6315441825561,5019.526077785072,0.0
372,59.45891623610612,4.988987398506993,29.271278763664988,3.897175998086472,-0.527576348698279,40.46644031972878,4.4643487937230635,54.48607782642215,92.44536657341007,11.955660580801435,471.91645422297455,1179.5524916721429,3091.411127543446,340.4757942094856,356.14141120616193,4063.314533344728,357.06391396504347,1697.1156757800268,3153.6104212781206,1322.5119808805905,2015.3269826631645,4767.377817191651,0.0
373,46.35295692160104,4.925298197674987,25.55607799750751,3.3829652761167286,-0.15567826682900035,34.26016829744835,4.016420821108709,51.080697962270754,86.71528186844665,27.942702206866674,385.7188364345469,981.6138886175708,2510.3366672062148,317.109808332364,308.73692302513695,3842.113987390209,293.9137671976722,1372.2336320953905,3128.735317166374,1145.4196741936994,2022.0224211437733,4422.183297055307,0.0
374,55.81638803425457,5.466656404747021,21.16538618295776,3.7956870398029694,-0.19603929896985225,37.5856473872684,5.8081327115661265,35.18892526289764,84.26240350351493,30.296905641696302,439.0497366489697,995.3484039315616,2587.127161283478,405.0104218701071,339.7321652973456,3824.1788079884914,511.6932453019715,1622.4452060621868,3011.2695477497914,1158.1168584467218,1988.5452287407306,4413.659975570457,0.0
375,119.7570424010702,7.207494560821803,30.397097177652107,5.818700274920774,-0.6486594451208348,45.183980423892116,7.271364088773017,48.810444719503174,90.7766050628418,37.68264190782846,512.2246927571315,1012.3145699076676,2478.6704840815696,691.5219153633832,588.909603171964,3440.897381514744,469.1996885986936,1940.7772085435047,2349.315388331641,1289.0983381094788,1533.255412059351,4216.913304628551,0.0
376,88.20632018209135,8.417589376629882,30.84742454324695,4.506109747787483,-0.2854101558531673,38.80370077481877,7.196709426670625,68.10759728302769,83.33754772657349,38.12886347390727,346.0307246470694,904.8621853923288,2207.924618365857,576.9173179660728,505.04012408245836,3279.480766899285,383.6223869045923,1555.6347857883304,2394.919745869844,1150.7658570370775,1218.5698034707507,3599.682773767474,0.0
377,58.20902910801981,8.046069038443191,28.48320587387401,4.188111011832509,-0.20757102243866715,35.014201346884306,4.733105577291676,64.7022174188763,77.30587961608562,48.86895496090779,315.0243873131026,837.8054341534329,1940.3453709626087,501.8123633610393,417.52414590210446,2400.656976215113,338.1778887635867,1350.618496124437,1621.7185930630476,997.731373145387,1218.5698034707507,3275.7965573432502,0.0
378,47.2993000328664,6.814744489024445,27.132223777089468,4.309897761772713,0.1816246446338337,26.77784034535325,4.807760239394068,59.02658431195733,72.84244521432466,57.701064579157496,277.81678251234246,726.3134863104495,1903.929260369267,419.47507979403946,353.7104118122632,1992.1334453982086,325.7839347251306,1103.6819427592998,1346.0195224911872,883.456714868186,1218.5698034707507,3049.218261204374,0.0
