11978,7210,5852.7,1400,673,3460.7,1790,1529.8,235,7563.9,1708.7,1371.2,1813.4,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-8.3565,142.8,0
11958,7210,5852.7,1400,673,3453.5,1790,1529.8,235,7563.9,1708.7,1370.5,1811.8,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-16.713,142.8,0
11942,7210,5852.7,1400,673,3446.9,1790,1529.8,235,7563.9,1708.7,1369.8,1810.3,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-25.07,142.8,0
11927,7210,5852.7,1400,673,3440.8,1790,1529.8,235,7563.9,1708.7,1369.1,1808.7,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-33.426,142.8,0
11917,7210,5852.7,1400,673,3434,1790,1529.8,235,7563.9,1708.7,1368.4,1807.2,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-41.783,142.8,0
11915,7210,5852.7,1400,673,3426.8,1790,1529.8,235,7563.9,1708.7,1367.7,1805.6,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-50.139,142.8,0
11923,7210,5852.7,1400,673,3420.7,1790,1529.8,235,7563.9,1708.7,1366.9,1804,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-58.496,142.8,0
11921,7210,5852.7,1400,673,3414.8,1790,1529.8,235,7563.9,1708.7,1366.2,1802.4,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-66.852,142.8,0
11926,7210,5852.7,1400,673,3408.3,1790,1529.8,235,7563.9,1708.7,1365.5,1800.9,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-75.209,142.8,0
11934,7210,5852.7,1400,673,3401.2,1790,1529.8,235,7563.9,1708.7,1364.8,1799.3,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-83.565,142.8,0
11941,7210,5852.7,1400,673,3394.6,1790,1529.8,235,7563.9,1708.7,1364.1,1797.6,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-91.922,142.8,0
11947,7210,5852.7,1400,673,3387.5,1790,1529.8,235,7563.9,1708.7,1363.4,1796,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-100.28,142.8,0
11936,7210,5852.7,1400,673,3380.2,1790,1529.8,235,7563.9,1708.7,1362.7,1794.4,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-108.63,142.8,0
11921,7210,5852.7,1400,673,3373.6,1790,1529.8,235,7563.9,1708.7,1362,1793,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-116.99,142.8,0
11900,7210,5852.7,1400,673,3366.8,1790,1529.8,235,7563.9,1708.7,1361.2,1791.4,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-125.35,142.8,0
11880,7210,5852.7,1400,673,3360,1790,1529.8,235,7563.9,1708.7,1360.5,1789.9,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-133.7,142.8,0
11859,7210,5852.2,1400,673,3353.9,1790,1529.8,235,7563.9,1708.7,1359.8,1788.4,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-142.06,142.8,0
11833,7210,5852.7,1400,673,3347.9,1790,1529.8,235,7563.9,1708.7,1359.1,1786.9,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-150.42,142.8,0
11810,7210,5852.7,1400,673,3342.4,1790,1529.8,235,7563.9,1708.7,1358.4,1785.3,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-158.77,142.8,0
11783,7210,5852.7,1400,673,3337.3,1790,1518.5,235,7563.9,1708.7,1357.7,1783.9,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-167.13,142.8,0
11758,7210,5851.6,1400,673,3333,1790,1506.8,235,7563.9,1708.7,1357,1782.4,496,262.4,4300,0,0,0,0,0,0,0,0,0,0,104.3,0,593,0,384,11.7,751,243,0,514,593,378,418,1306,2640,445,817,0,-175.49,142.8,0
