51132,301.84,6876.1,7769.6,7351,7194.1,6978.6,16860,27085,21761,17653,28085,2031.8
45863,317.08,6862.1,6404.5,6039.7,5922,5769.5,14928,24064,19509,16145,28197,2031.8
47484,529.74,6849.9,7628.5,7215,7062.6,6853.9,16271,26746,21678,18340,28277,2031.9
48430,1039.5,6841,8274.5,7838.2,7664.8,7424,18502,30810,25171,21159,28355,2031.3
56251,1039.5,6832.8,9100.8,8638.3,8435.2,8151,20599,36279,28997,22310,28393,2491.4
56827,1039.5,6826.6,9228.8,8762.5,8554.5,8263.4,20581,36491,28966,22402,28478,2540.3
59368,1039.5,6818.6,9226.6,8760.4,8552.5,8261.5,20532,37313,29486,22366,28403,2775.1
64816,1039.5,6811.9,9004.8,8545.1,8345.7,8066.7,20500,37807,29797,22342,28357,2216.6
65561,1039.5,6802.8,8769.9,8317.5,8126.7,7860.2,20548,36693,28960,22560,28283,2987.7
65829,1039.5,6795,8495.2,8051.6,7870.6,7618.4,20582,35901,28376,22336,28221,2849.9
62913,1039.5,6785,8251.7,7816.1,7643.5,7403.9,20640,34634,27442,21751,28177,2895.2
57850,1039.5,6775.1,8171.1,7738.3,7568.4,7332.9,20033,32574,25932,20744,28088,2550.6
55473,1039.5,6763.2,7941,7516.3,7353.9,7129.9,19189,31115,24852,20005,28062,2476.6
54362,1039.5,6749.9,7833.4,7412.4,7253.5,7034.8,18680,30215,24162,19493,28065,2032.4
51301,1039.5,6734,7644.1,7230.1,7077.1,6867.7,17714,28559,22914,18596,28020,2032.2
50126,1035.1,6719.2,7621.3,7208.1,7055.9,6847.6,17297,27797,22339,18207,28011,2032.1
48520,973.35,6707.1,7520.3,7110.8,6961.7,6758.3,16768,26857,21579,17666,28025,2031.8
47311,921.52,6690.7,7484.8,7076.7,6928.6,6726.9,16371,26132,21017,17257,28032,2031.8
47322,869.69,6674.1,7341.2,6938.5,6794.8,6599.9,16165,25753,20741,17074,28048,2031.5
47990,900.94,6656,7222.6,6824.5,6684.2,6494.9,16176,25746,20701,17031,28035,2031.4
47407,942.1,6642.3,7280.5,6880.1,6738.2,6546.2,16137,25701,20662,17001,28060,2031.2
48360,1014.5,6632.6,7595.5,7183.2,7031.7,6824.7,16595,26483,21244,17466,28128,2031.1
62097,1039.5,6617.6,7441.2,7034.7,6887.9,6688.3,19416,31214,24748,19879,28200,2031.2
62160,1039.5,6608.5,8222,7787.5,7615.9,7377.7,20045,32378,25649,21167,28213,2031.3
63054,1039.5,6622.2,9769.3,9287.9,9058.3,8737.4,20579,36461,28819,22273,28240,2031.9
68067,1039.5,6634.3,10626,10124,9856.6,9486.7,20408,40620,31771,21840,28398,2031.9
71045,1039.5,6635.9,9837.8,9354.6,9122.2,8797.4,20385,40962,31922,21896,28465,2032.4
70560,1039.5,6634.7,9377.4,8906.8,8693.1,8393.9,20440,39342,30742,22169,28543,2514.7
68949,1039.5,6632,9048.9,8587.9,8386.8,8105.4,20497,37931,29713,22407,28684,2752.2
69265,1039.5,6627.8,8764.5,8312.2,8121.6,7855.4,20518,37364,29290,22520,28730,2271
67310,1039.5,6622.3,8540.3,8095.2,7912.6,7658.1,20577,36027,28359,22251,28721,2065.1
65921,1039.5,6616.4,8294.7,7857.7,7683.7,7441.8,20614,35311,27890,21826,22078,2032.4
60769,1039.5,6608.3,8161.1,7728.7,7559.1,7324,20351,33202,26348,20835,22095,2032.4
58856,1039.5,6600.3,8049,7620.4,7454.5,7225.1,19763,32148,25576,20326,22028,2032.8
63458,1039.5,6592.1,6885.5,6500.7,6370.1,6196.3,19890,32282,25667,20354,21999,2032.7
57506,1039.5,6582.5,6812.6,6430.7,6302.1,6131.7,18520,29990,23989,19276,22009,2032.4
54170,1039.5,6572.9,6768.4,6388.3,6260.9,6092.5,17741,28672,23013,18637,21997,2032.1
55158,1015.3,6563.2,6791.9,6410.8,6282.8,6113.3,17900,28925,23198,18742,22011,2032
55268,949.72,6553.5,6848,6464.7,6335.1,6163.1,17917,28953,23217,18745,22036,2031.8
51566,910.85,6542.2,6838.7,6455.8,6326.5,6154.9,17110,27625,22238,18108,22075,2031.6
54345,884.93,6532.4,6845.1,6461.9,6332.4,6160.5,17665,28542,22889,18520,26852,2031.6
57323,936.77,6521.9,6899.3,6513.9,6382.9,6208.6,18302,29587,23644,19013,26825,2031.4
57554,962.68,6509.8,6943.4,6556.3,6424,6247.6,18380,29672,23709,19456,26871,2031.1
57834,923.81,6506.4,7358.3,6954.9,6810.6,6615,18725,30306,24288,20390,26857,2030.7
60223,884.93,6504.1,8122.3,7691.2,7522.9,7289.8,19783,33419,26832,21694,26858,2030.6
61950,833.1,6445.3,7945.4,7520.5,7358,7133.8,19969,34167,27271,21803,26845,2030.3
60456,780.51,6479.3,8494.1,8050.5,7869.5,7617.5,19949,33448,26742,21434,26842,2029.9
58216,754.6,6453.4,7571.5,7160.1,7009.4,6803.5,18890,31500,25286,20406,26846,2029.4
61275,728.68,6452.1,7709,7292.6,7137.6,6925.1,19590,32391,25894,20708,26874,2028.9
57994,702.76,6436.1,7422.7,7016.9,6870.7,6672,18712,30770,24754,19944,26869,2028.4
58124,676.85,6434.3,7330.3,6928,6784.6,6590.2,18673,30572,24600,19840,26945,2028
58884,676.85,6415.1,7126.2,6731.9,6594.4,6409.6,18717,30663,24676,19895,26925,2027.5
60147,702.76,6411.1,7359.6,6956.2,6811.9,6616.1,19130,31373,25194,20156,26926,2027.2
60400,676.85,6398,7171.6,6775.4,6636.7,6449.7,19050,31162,24997,20007,26919,2026.8
