,Generator,Time,Value,Zones
118,SCHLTE_1_PL1X3,23,0,PGE_valley
119,SCHLTE_1_PL1X3,24,0,PGE_valley
120,ELKHIL_2_PL1X3,1,0,PGE_valley
121,ELKHIL_2_PL1X3,2,0,PGE_valley
122,ELKHIL_2_PL1X3,3,0,PGE_valley
123,ELKHIL_2_PL1X3,4,0,PGE_valley
124,ELKHIL_2_PL1X3,5,0,PGE_valley
125,ELKHIL_2_PL1X3,6,0,PGE_valley
126,ELKHIL_2_PL1X3,7,0,PGE_valley
127,ELKHIL_2_PL1X3,8,0,PGE_valley
128,ELKHIL_2_PL1X3,9,0,PGE_valley
129,ELKHIL_2_PL1X3,10,0,PGE_valley
130,ELKHIL_2_PL1X3,11,0,PGE_valley
131,ELKHIL_2_PL1X3,12,0,PGE_valley
132,ELKHIL_2_PL1X3,13,0,PGE_valley
133,ELKHIL_2_PL1X3,14,0,PGE_valley
134,ELKHIL_2_PL1X3,15,0,PGE_valley
135,ELKHIL_2_PL1X3,16,0,PGE_valley
136,ELKHIL_2_PL1X3,17,0,PGE_valley
137,ELKHIL_2_PL1X3,18,0,PGE_valley
138,ELKHIL_2_PL1X3,19,0,PGE_valley
139,ELKHIL_2_PL1X3,20,0,PGE_valley
140,ELKHIL_2_PL1X3,21,0,PGE_valley
141,ELKHIL_2_PL1X3,22,0,PGE_valley
142,ELKHIL_2_PL1X3,23,0,PGE_valley
143,ELKHIL_2_PL1X3,24,0,PGE_valley
144,CALPIN_1_AGNEW,1,0,PGE_valley
145,CALPIN_1_AGNEW,2,0,PGE_valley
146,CALPIN_1_AGNEW,3,0,PGE_valley
147,CALPIN_1_AGNEW,4,0,PGE_valley
148,CALPIN_1_AGNEW,5,0,PGE_valley
149,CALPIN_1_AGNEW,6,0,PGE_valley
150,CALPIN_1_AGNEW,7,0,PGE_valley
151,CALPIN_1_AGNEW,8,0,PGE_valley
152,CALPIN_1_AGNEW,9,0,PGE_valley
153,CALPIN_1_AGNEW,10,0,PGE_valley
154,CALPIN_1_AGNEW,11,0,PGE_valley
155,CALPIN_1_AGNEW,12,0,PGE_valley
156,CALPIN_1_AGNEW,13,0,PGE_valley
157,CALPIN_1_AGNEW,14,0,PGE_valley
158,CALPIN_1_AGNEW,15,0,PGE_valley
159,CALPIN_1_AGNEW,16,0,PGE_valley
160,CALPIN_1_AGNEW,17,0,PGE_valley
161,CALPIN_1_AGNEW,18,0,PGE_valley
162,CALPIN_1_AGNEW,19,0,PGE_valley
163,CALPIN_1_AGNEW,20,0,PGE_valley
164,CALPIN_1_AGNEW,21,0,PGE_valley
165,CALPIN_1_AGNEW,22,0,PGE_valley
166,CALPIN_1_AGNEW,23,0,PGE_valley
167,CALPIN_1_AGNEW,24,0,PGE_valley
168,UNVRSY_1_UNIT1,1,0,PGE_valley
169,UNVRSY_1_UNIT1,2,0,PGE_valley
170,UNVRSY_1_UNIT1,3,0,PGE_valley
171,UNVRSY_1_UNIT1,4,0,PGE_valley
172,UNVRSY_1_UNIT1,5,0,PGE_valley
173,UNVRSY_1_UNIT1,6,0,PGE_valley
174,UNVRSY_1_UNIT1,7,0,PGE_valley
175,UNVRSY_1_UNIT1,8,0,PGE_valley
176,UNVRSY_1_UNIT1,9,0,PGE_valley
177,UNVRSY_1_UNIT1,10,0,PGE_valley
178,UNVRSY_1_UNIT1,11,0,PGE_valley
179,UNVRSY_1_UNIT1,12,0,PGE_valley
180,UNVRSY_1_UNIT1,13,0,PGE_valley
181,UNVRSY_1_UNIT1,14,0,PGE_valley
182,UNVRSY_1_UNIT1,15,0,PGE_valley
183,UNVRSY_1_UNIT1,16,0,PGE_valley
184,UNVRSY_1_UNIT1,17,0,PGE_valley
185,UNVRSY_1_UNIT1,18,0,PGE_valley
186,UNVRSY_1_UNIT1,19,0,PGE_valley
187,UNVRSY_1_UNIT1,20,0,PGE_valley
188,UNVRSY_1_UNIT1,21,0,PGE_valley
189,UNVRSY_1_UNIT1,22,0,PGE_valley
190,UNVRSY_1_UNIT1,23,0,PGE_valley
191,UNVRSY_1_UNIT1,24,0,PGE_valley
192,TANHIL_6_SOLART,1,0,PGE_valley
193,TANHIL_6_SOLART,2,0,PGE_valley
194,TANHIL_6_SOLART,3,0,PGE_valley
195,TANHIL_6_SOLART,4,0,PGE_valley
196,TANHIL_6_SOLART,5,0,PGE_valley
197,TANHIL_6_SOLART,6,0,PGE_valley
198,TANHIL_6_SOLART,7,0,PGE_valley
199,TANHIL_6_SOLART,8,0,PGE_valley
200,TANHIL_6_SOLART,9,0,PGE_valley
201,TANHIL_6_SOLART,10,0,PGE_valley
202,TANHIL_6_SOLART,11,0,PGE_valley
203,TANHIL_6_SOLART,12,0,PGE_valley
204,TANHIL_6_SOLART,13,0,PGE_valley
205,TANHIL_6_SOLART,14,0,PGE_valley
206,TANHIL_6_SOLART,15,0,PGE_valley
207,TANHIL_6_SOLART,16,0,PGE_valley
208,TANHIL_6_SOLART,17,0,PGE_valley
209,TANHIL_6_SOLART,18,0,PGE_valley
210,TANHIL_6_SOLART,19,0,PGE_valley
211,TANHIL_6_SOLART,20,0,PGE_valley
212,TANHIL_6_SOLART,21,0,PGE_valley
213,TANHIL_6_SOLART,22,0,PGE_valley
214,TANHIL_6_SOLART,23,0,PGE_valley
215,TANHIL_6_SOLART,24,0,PGE_valley
216,CASTVL_2_FCELL,1,0,PGE_valley
217,CASTVL_2_FCELL,2,0,PGE_valley
218,CASTVL_2_FCELL,3,0,PGE_valley
219,CASTVL_2_FCELL,4,0,PGE_valley
220,CASTVL_2_FCELL,5,0,PGE_valley
221,CASTVL_2_FCELL,6,0,PGE_valley
222,CASTVL_2_FCELL,7,0,PGE_valley
223,CASTVL_2_FCELL,8,0,PGE_valley
224,CASTVL_2_FCELL,9,0,PGE_valley
225,CASTVL_2_FCELL,10,0,PGE_valley
226,CASTVL_2_FCELL,11,0,PGE_valley
227,CASTVL_2_FCELL,12,0,PGE_valley
228,CASTVL_2_FCELL,13,0,PGE_valley
229,CASTVL_2_FCELL,14,0,PGE_valley
230,CASTVL_2_FCELL,15,0,PGE_valley
231,CASTVL_2_FCELL,16,0,PGE_valley
232,CASTVL_2_FCELL,17,0,PGE_valley
233,CASTVL_2_FCELL,18,0,PGE_valley
234,CASTVL_2_FCELL,19,0,PGE_valley
235,CASTVL_2_FCELL,20,0,PGE_valley
236,CASTVL_2_FCELL,21,0,PGE_valley
237,CASTVL_2_FCELL,22,0,PGE_valley
238,CASTVL_2_FCELL,23,0,PGE_valley
239,CASTVL_2_FCELL,24,0,PGE_valley
240,YUBACT_6_UNITA1,1,0,PGE_valley
241,YUBACT_6_UNITA1,2,0,PGE_valley
242,YUBACT_6_UNITA1,3,0,PGE_valley
243,YUBACT_6_UNITA1,4,0,PGE_valley
244,YUBACT_6_UNITA1,5,0,PGE_valley
245,YUBACT_6_UNITA1,6,0,PGE_valley
246,YUBACT_6_UNITA1,7,0,PGE_valley
247,YUBACT_6_UNITA1,8,0,PGE_valley
248,YUBACT_6_UNITA1,9,0,PGE_valley
249,YUBACT_6_UNITA1,10,0,PGE_valley
250,YUBACT_6_UNITA1,11,0,PGE_valley
251,YUBACT_6_UNITA1,12,0,PGE_valley
252,YUBACT_6_UNITA1,13,0,PGE_valley
253,YUBACT_6_UNITA1,14,0,PGE_valley
254,YUBACT_6_UNITA1,15,0,PGE_valley
255,YUBACT_6_UNITA1,16,0,PGE_valley
256,YUBACT_6_UNITA1,17,0,PGE_valley
257,YUBACT_6_UNITA1,18,0,PGE_valley
258,YUBACT_6_UNITA1,19,0,PGE_valley
259,YUBACT_6_UNITA1,20,0,PGE_valley
260,YUBACT_6_UNITA1,21,0,PGE_valley
261,YUBACT_6_UNITA1,22,0,PGE_valley
262,YUBACT_6_UNITA1,23,0,PGE_valley
