,Generator,Time,Value,Zones
102,COYOTE_SPRINGS_2_GEN_1,7,0.0,PNW
103,COYOTE_SPRINGS_2_GEN_1,8,0.0,PNW
104,COYOTE_SPRINGS_2_GEN_1,9,0.0,PNW
105,COYOTE_SPRINGS_2_GEN_1,10,0.0,PNW
106,COYOTE_SPRINGS_2_GEN_1,11,0.0,PNW
107,COYOTE_SPRINGS_2_GEN_1,12,0.0,PNW
108,COYOTE_SPRINGS_2_GEN_1,13,0.0,PNW
109,COYOTE_SPRINGS_2_GEN_1,14,0.0,PNW
110,COYOTE_SPRINGS_2_GEN_1,15,0.0,PNW
111,COYOTE_SPRINGS_2_GEN_1,16,0.0,PNW
112,COYOTE_SPRINGS_2_GEN_1,17,0.0,PNW
113,COYOTE_SPRINGS_2_GEN_1,18,0.0,PNW
114,COYOTE_SPRINGS_2_GEN_1,19,0.0,PNW
115,COYOTE_SPRINGS_2_GEN_1,20,0.0,PNW
116,COYOTE_SPRINGS_2_GEN_1,21,0.0,PNW
117,COYOTE_SPRINGS_2_GEN_1,22,0.0,PNW
118,COYOTE_SPRINGS_2_GEN_1,23,0.0,PNW
119,COYOTE_SPRINGS_2_GEN_1,24,0.0,PNW
120,PORT_WESTWARD_1_GEN_1,1,0.0,PNW
121,PORT_WESTWARD_1_GEN_1,2,0.0,PNW
122,PORT_WESTWARD_1_GEN_1,3,0.0,PNW
123,PORT_WESTWARD_1_GEN_1,4,0.0,PNW
124,PORT_WESTWARD_1_GEN_1,5,0.0,PNW
125,PORT_WESTWARD_1_GEN_1,6,0.0,PNW
126,PORT_WESTWARD_1_GEN_1,7,0.0,PNW
127,PORT_WESTWARD_1_GEN_1,8,0.0,PNW
128,PORT_WESTWARD_1_GEN_1,9,0.0,PNW
129,PORT_WESTWARD_1_GEN_1,10,0.0,PNW
130,PORT_WESTWARD_1_GEN_1,11,0.0,PNW
131,PORT_WESTWARD_1_GEN_1,12,0.0,PNW
132,PORT_WESTWARD_1_GEN_1,13,0.0,PNW
133,PORT_WESTWARD_1_GEN_1,14,0.0,PNW
134,PORT_WESTWARD_1_GEN_1,15,0.0,PNW
135,PORT_WESTWARD_1_GEN_1,16,0.0,PNW
136,PORT_WESTWARD_1_GEN_1,17,0.0,PNW
137,PORT_WESTWARD_1_GEN_1,18,0.0,PNW
138,PORT_WESTWARD_1_GEN_1,19,0.0,PNW
139,PORT_WESTWARD_1_GEN_1,20,0.0,PNW
140,PORT_WESTWARD_1_GEN_1,21,0.0,PNW
141,PORT_WESTWARD_1_GEN_1,22,0.0,PNW
142,PORT_WESTWARD_1_GEN_1,23,0.0,PNW
143,PORT_WESTWARD_1_GEN_1,24,0.0,PNW
144,PORT_WESTWARD_1_GEN_2,1,0.0,PNW
145,PORT_WESTWARD_1_GEN_2,2,0.0,PNW
146,PORT_WESTWARD_1_GEN_2,3,0.0,PNW
147,PORT_WESTWARD_1_GEN_2,4,0.0,PNW
148,PORT_WESTWARD_1_GEN_2,5,0.0,PNW
149,PORT_WESTWARD_1_GEN_2,6,0.0,PNW
150,PORT_WESTWARD_1_GEN_2,7,0.0,PNW
151,PORT_WESTWARD_1_GEN_2,8,0.0,PNW
152,PORT_WESTWARD_1_GEN_2,9,0.0,PNW
153,PORT_WESTWARD_1_GEN_2,10,0.0,PNW
154,PORT_WESTWARD_1_GEN_2,11,0.0,PNW
