,PGE_valley,PGE_bay,SCE,SDGE,PNW
0,941.0,35.0,428.0,31.0,509.8
1,941.0,35.0,428.0,31.0,509.8
2,941.0,35.0,428.0,31.0,509.8
3,941.0,35.0,428.0,31.0,509.8
4,941.0,35.0,428.0,31.0,509.8
5,941.0,35.0,428.0,31.0,509.8
6,941.0,35.0,428.0,31.0,509.8
7,941.0,35.0,428.0,31.0,509.8
8,941.0,35.0,428.0,31.0,509.8
9,941.0,35.0,428.0,31.0,509.8
10,941.0,35.0,428.0,31.0,509.8
11,941.0,35.0,428.0,31.0,509.8
12,941.0,35.0,428.0,31.0,509.8
13,941.0,35.0,428.0,31.0,509.8
14,941.0,35.0,428.0,31.0,509.8
15,941.0,35.0,428.0,31.0,509.8
16,941.0,35.0,428.0,31.0,509.8
17,941.0,35.0,428.0,31.0,509.8
18,941.0,35.0,428.0,31.0,509.8
19,941.0,35.0,428.0,31.0,509.8
20,941.0,35.0,428.0,31.0,509.8
21,941.0,35.0,428.0,31.0,509.8
22,941.0,35.0,428.0,31.0,509.8
23,941.0,35.0,428.0,31.0,509.8
24,941.0,35.0,428.0,31.0,509.8
25,941.0,35.0,428.0,31.0,509.8
26,941.0,35.0,428.0,31.0,509.8
27,941.0,35.0,428.0,31.0,509.8
28,941.0,35.0,428.0,31.0,509.8
29,941.0,35.0,428.0,31.0,509.8
30,941.0,35.0,428.0,31.0,509.8
31,941.0,35.0,428.0,31.0,509.8
32,941.0,35.0,428.0,31.0,509.8
33,941.0,35.0,428.0,31.0,509.8
34,941.0,35.0,428.0,31.0,509.8
35,941.0,35.0,428.0,31.0,509.8
36,941.0,35.0,428.0,31.0,509.8
37,941.0,35.0,428.0,31.0,509.8
38,941.0,35.0,428.0,31.0,509.8
39,941.0,35.0,428.0,31.0,509.8
40,941.0,35.0,428.0,31.0,509.8
41,941.0,35.0,428.0,31.0,509.8
42,941.0,35.0,428.0,31.0,509.8
43,941.0,35.0,428.0,31.0,509.8
44,941.0,35.0,428.0,31.0,509.8
45,941.0,35.0,428.0,31.0,509.8
46,941.0,35.0,428.0,31.0,509.8
47,941.0,35.0,428.0,31.0,509.8
48,941.0,35.0,428.0,31.0,509.8
49,941.0,35.0,428.0,31.0,509.8
50,941.0,35.0,428.0,31.0,509.8
51,941.0,35.0,428.0,31.0,509.8
52,941.0,35.0,428.0,31.0,509.8
53,941.0,35.0,428.0,31.0,509.8
54,941.0,35.0,428.0,31.0,509.8
55,941.0,35.0,428.0,31.0,509.8
56,941.0,35.0,428.0,31.0,509.8
57,941.0,35.0,428.0,31.0,509.8
58,941.0,35.0,428.0,31.0,509.8
59,941.0,35.0,428.0,31.0,509.8
60,941.0,35.0,428.0,31.0,509.8
61,941.0,35.0,428.0,31.0,509.8
62,941.0,35.0,428.0,31.0,509.8
63,941.0,35.0,428.0,31.0,509.8
64,941.0,35.0,428.0,31.0,509.8
65,941.0,35.0,428.0,31.0,509.8
66,941.0,35.0,428.0,31.0,509.8
67,941.0,35.0,428.0,31.0,509.8
68,941.0,35.0,428.0,31.0,509.8
69,941.0,35.0,428.0,31.0,509.8
70,941.0,35.0,428.0,31.0,509.8
71,941.0,35.0,428.0,31.0,509.8
72,941.0,35.0,428.0,31.0,509.8
73,941.0,35.0,428.0,31.0,509.8
74,941.0,35.0,428.0,31.0,509.8
75,941.0,35.0,428.0,31.0,509.8
76,941.0,35.0,428.0,31.0,509.8
77,941.0,35.0,428.0,31.0,509.8
78,941.0,35.0,428.0,31.0,509.8
79,941.0,35.0,428.0,31.0,509.8
80,941.0,35.0,428.0,31.0,509.8
81,941.0,35.0,428.0,31.0,509.8
82,941.0,35.0,428.0,31.0,509.8
83,941.0,35.0,428.0,31.0,509.8
84,941.0,35.0,428.0,31.0,509.8
85,941.0,35.0,428.0,31.0,509.8
86,941.0,35.0,428.0,31.0,509.8
87,941.0,35.0,428.0,31.0,509.8
88,941.0,35.0,428.0,31.0,509.8
89,941.0,35.0,428.0,31.0,509.8
90,941.0,35.0,428.0,31.0,509.8
91,941.0,35.0,428.0,31.0,509.8
92,941.0,35.0,428.0,31.0,509.8
93,941.0,35.0,428.0,31.0,509.8
94,941.0,35.0,428.0,31.0,509.8
95,941.0,35.0,428.0,31.0,509.8
96,941.0,35.0,428.0,31.0,509.8
97,941.0,35.0,428.0,31.0,509.8
98,941.0,35.0,428.0,31.0,509.8
99,941.0,35.0,428.0,31.0,509.8
100,941.0,35.0,428.0,31.0,509.8
101,941.0,35.0,428.0,31.0,509.8
102,941.0,35.0,428.0,31.0,509.8
103,941.0,35.0,428.0,31.0,509.8
104,941.0,35.0,428.0,31.0,509.8
105,941.0,35.0,428.0,31.0,509.8
106,941.0,35.0,428.0,31.0,509.8
107,941.0,35.0,428.0,31.0,509.8
108,941.0,35.0,428.0,31.0,509.8
109,941.0,35.0,428.0,31.0,509.8
110,941.0,35.0,428.0,31.0,509.8
111,941.0,35.0,428.0,31.0,509.8
112,941.0,35.0,428.0,31.0,509.8
113,941.0,35.0,428.0,31.0,509.8
114,941.0,35.0,428.0,31.0,509.8
115,941.0,35.0,428.0,31.0,509.8
116,941.0,35.0,428.0,31.0,509.8
117,941.0,35.0,428.0,31.0,509.8
118,941.0,35.0,428.0,31.0,509.8
119,941.0,35.0,428.0,31.0,509.8
